key,name,total_spending,num_categories,category_names,category_pct,pct_total
UNICEF1,The United Nations Children's Fund (UNICEF) - Overview,4.224,5,"Development, Management, United Nations development coordination, Special purpose (including capital investment), Other (including private fundraising and partnerships)","89.44, 7.58, 0.02, 0.26, 2.70",100
UNICEF2,The United Nations Children's Fund (UNICEF) - Development,3.588,6,"Young child survival and development; Basic education and gender equality; Policy advocacy and partnerships for children's rights; Child protection: Preventing and responding to violence, exploitation, and abuse; HIV/AIDS and children; Other interventions","56, 20, 9, 11, 3",89.44
